DPX spectrum
Frecuencia (Hz),Amplitud (dBm)
1289600000.0,-57.289024353027344
1289680000.0,-55.81691360473633
1289760000.0,-54.43961715698242
1289840000.0,-53.17633819580078
1289920000.0,-52.03862380981445
1290000000.0,-51.033206939697266
1290080000.0,-50.163875579833984
1290160000.0,-49.43266296386719
1290240000.0,-48.840606689453125
1290320000.0,-48.38820266723633
1290400000.0,-48.07571029663086
1290480000.0,-47.9033317565918
1290560000.0,-47.87132263183594
1290640000.0,-47.98004150390625
1290720000.0,-48.22996520996094
1290800000.0,-48.62171173095703
1290880000.0,-49.15592956542969
1290960000.0,-49.8331413269043
1291040000.0,-50.653507232666016
1291120000.0,-51.61629104614258
1291200000.0,-52.718955993652344
1291280000.0,-53.95566940307617
1291360000.0,-55.314697265625
1291440000.0,-56.774227142333984
1291520000.0,-58.29642868041992
1291600000.0,-59.82094192504883
1291680000.0,-61.26264953613281
1291760000.0,-62.52400588989258
1291840000.0,-63.52762222290039
1291920000.0,-64.25287628173828
1292000000.0,-64.74224853515625
1292080000.0,-65.07080841064453
1292160000.0,-65.30940246582031
1292240000.0,-65.50677490234375
1292320000.0,-65.68900299072266
1292400000.0,-65.86609649658203
1292480000.0,-66.0385971069336
1292560000.0,-66.20301055908203
1292640000.0,-66.35472869873047
1292720000.0,-66.4899673461914
1292800000.0,-66.6061019897461
1292880000.0,-66.70220947265625
1292960000.0,-66.77837371826172
1293040000.0,-66.83586883544922
1293120000.0,-66.87621307373047
1293200000.0,-66.9012222290039
1293280000.0,-66.9128189086914
1293360000.0,-66.91259002685547
1293440000.0,-66.9019775390625
1293520000.0,-66.88227081298828
1293600000.0,-66.85456085205078
1293680000.0,-66.8197021484375
1293760000.0,-66.77861022949219
1293840000.0,-66.7320556640625
1293920000.0,-66.68093872070312
1294000000.0,-66.6261978149414
1294080000.0,-66.56874084472656
1294160000.0,-66.5093994140625
1294240000.0,-66.44889068603516
1294320000.0,-66.38790893554688
1294400000.0,-66.3266372680664
1294480000.0,-66.26508331298828
1294560000.0,-66.2027816772461
1294640000.0,-66.1386947631836
1294720000.0,-66.0716323852539
1294800000.0,-65.99979400634766
1294880000.0,-65.92120361328125
1294960000.0,-65.83381652832031
1295040000.0,-65.73592376708984
1295120000.0,-65.62601470947266
1295200000.0,-65.50348663330078
1295280000.0,-65.36825561523438
1295360000.0,-65.2211685180664
1295440000.0,-65.06365203857422
1295520000.0,-64.89764404296875
1295600000.0,-64.7252426147461
1295680000.0,-64.54840087890625
1295760000.0,-64.36893463134766
1295840000.0,-64.18812561035156
1295920000.0,-64.0066146850586
1296000000.0,-63.82465744018555
1296080000.0,-63.64175796508789
1296160000.0,-63.45718765258789
1296240000.0,-63.2697639465332
1296320000.0,-63.078182220458984
1296400000.0,-62.881248474121094
1296480000.0,-62.677696228027344
1296560000.0,-62.466575622558594
1296640000.0,-62.24721145629883
1296720000.0,-62.019264221191406
1296800000.0,-61.782711029052734
1296880000.0,-61.53768539428711
1296960000.0,-61.284454345703125
1297040000.0,-61.02332305908203
1297120000.0,-60.754364013671875
1297200000.0,-60.4775390625
1297280000.0,-60.19245529174805
1297360000.0,-59.89837646484375
1297440000.0,-59.59425735473633
1297520000.0,-59.2787971496582
1297600000.0,-58.950416564941406
1297680000.0,-58.60746765136719
1297760000.0,-58.24815368652344
1297840000.0,-57.87054443359375
1297920000.0,-57.47228240966797
1298000000.0,-57.04960632324219
1298080000.0,-56.59524917602539
1298160000.0,-56.0943717956543
1298240000.0,-55.51823806762695
1298320000.0,-54.81752014160156
1298400000.0,-53.92202377319336
1298480000.0,-52.75836181640625
1298560000.0,-51.28754806518555
1298640000.0,-49.53679656982422
1298720000.0,-47.592308044433594
1298800000.0,-45.560081481933594
1298880000.0,-43.53153991699219
1298960000.0,-41.57118225097656
1299040000.0,-39.71925354003906
1299120000.0,-37.99890899658203
1299200000.0,-36.42253494262695
1299280000.0,-34.99618148803711
1299360000.0,-33.72226333618164
1299440000.0,-32.601219177246094
1299520000.0,-31.632476806640625
1299600000.0,-30.814985275268555
1299680000.0,-30.147573471069336
1299760000.0,-29.62912368774414
1299840000.0,-29.258676528930664
1299920000.0,-29.0355224609375
1300000000.0,-28.95920753479004
1300080000.0,-29.02956199645996
1300160000.0,-29.24671745300293
1300240000.0,-29.611072540283203
1300320000.0,-30.123308181762695
1300400000.0,-30.784311294555664
1300480000.0,-31.59513282775879
1300560000.0,-32.556854248046875
1300640000.0,-33.67039489746094
1300720000.0,-34.9361457824707
1300800000.0,-36.35340881347656
1300880000.0,-37.91933822631836
1300960000.0,-39.62724685668945
1301040000.0,-41.46367263793945
1301120000.0,-43.403778076171875
1301200000.0,-45.404762268066406
1301280000.0,-47.39878845214844
1301360000.0,-49.291324615478516
1301440000.0,-50.97593307495117
1301520000.0,-52.37108612060547
1301600000.0,-53.45794677734375
1301680000.0,-54.28263473510742
1301760000.0,-54.92124938964844
1301840000.0,-55.443294525146484
1301920000.0,-55.8963508605957
1302000000.0,-56.30756378173828
1302080000.0,-56.690486907958984
1302160000.0,-57.05127716064453
1302240000.0,-57.39257049560547
1302320000.0,-57.71560287475586
1302400000.0,-58.02114486694336
1302480000.0,-58.30998229980469
1302560000.0,-58.58305740356445
1302640000.0,-58.841453552246094
1302720000.0,-59.08642578125
1302800000.0,-59.31941223144531
1302880000.0,-59.541831970214844
1302960000.0,-59.755126953125
1303040000.0,-59.96067810058594
1303120000.0,-60.159706115722656
1303200000.0,-60.35331344604492
1303280000.0,-60.54235076904297
1303360000.0,-60.72746658325195
1303440000.0,-60.90920639038086
1303520000.0,-61.08784866333008
1303600000.0,-61.26362991333008
1303680000.0,-61.4367561340332
1303760000.0,-61.607330322265625
1303840000.0,-61.77543640136719
1303920000.0,-61.941192626953125
1304000000.0,-62.104740142822266
1304080000.0,-62.26616287231445
1304160000.0,-62.425559997558594
1304240000.0,-62.58283996582031
1304320000.0,-62.73793411254883
1304400000.0,-62.890560150146484
1304480000.0,-63.040245056152344
1304560000.0,-63.186485290527344
1304640000.0,-63.32863235473633
1304720000.0,-63.46604919433594
1304800000.0,-63.59819412231445
1304880000.0,-63.72463607788086
1304960000.0,-63.8453483581543
1305040000.0,-63.960304260253906
1305120000.0,-64.06988525390625
1305200000.0,-64.17462158203125
1305280000.0,-64.27497863769531
1305360000.0,-64.37149047851562
1305440000.0,-64.46451568603516
1305520000.0,-64.55409240722656
1305600000.0,-64.6401596069336
1305680000.0,-64.72234344482422
1305760000.0,-64.80022430419922
1305840000.0,-64.87338256835938
1305920000.0,-64.9415054321289
1306000000.0,-65.00448608398438
1306080000.0,-65.06269836425781
1306160000.0,-65.11676025390625
1306240000.0,-65.16771697998047
1306320000.0,-65.21684265136719
1306400000.0,-65.26548767089844
1306480000.0,-65.31507110595703
1306560000.0,-65.3668441772461
1306640000.0,-65.42149353027344
1306720000.0,-65.47918701171875
1306800000.0,-65.5394287109375
1306880000.0,-65.60076904296875
1306960000.0,-65.66064453125
1307040000.0,-65.71553802490234
1307120000.0,-65.76075744628906
1307200000.0,-65.79083251953125
1307280000.0,-65.80023193359375
1307360000.0,-65.78411865234375
1307440000.0,-65.7394027709961
1307520000.0,-65.66551971435547
1307600000.0,-65.5643539428711
1307680000.0,-65.43843078613281
1307760000.0,-65.28707122802734
1307840000.0,-65.09991455078125
1307920000.0,-64.8490219116211
1308000000.0,-64.48185729980469
1308080000.0,-63.92513656616211
1308160000.0,-63.10873031616211
1308240000.0,-62.005592346191406
1308320000.0,-60.65562057495117
1308400000.0,-59.148277282714844
1308480000.0,-57.58243942260742
1308560000.0,-56.03828811645508
1308640000.0,-54.5700569152832
1308720000.0,-53.210594177246094
1308800000.0,-51.97826385498047
1308880000.0,-50.88263702392578
1308960000.0,-49.928199768066406
1309040000.0,-49.11664581298828
1309120000.0,-48.4482307434082
1309200000.0,-47.92247772216797
1309280000.0,-47.538612365722656
1309360000.0,-47.29582214355469
1309440000.0,-47.193336486816406
1309520000.0,-47.23048782348633
1309600000.0,-47.406715393066406
1309680000.0,-47.72150421142578
1309760000.0,-48.174312591552734
1309840000.0,-48.764461517333984
1309920000.0,-49.490875244140625
1310000000.0,-50.35181427001953
1310080000.0,-51.34429168701172
1310160000.0,-52.463321685791016
1310240000.0,-53.7006950378418
1310320000.0,-55.04304885864258
1310400000.0,-56.46928024291992
1310480000.0,-57.94715118408203
1310560000.0,-59.43023681640625
1310640000.0,-60.85768127441406
1310720000.0,-62.16093444824219
1310800000.0,-63.28047561645508
1310880000.0,-64.18621826171875
1310960000.0,-64.88786315917969
1311040000.0,-65.42618560791016
1311120000.0,-65.85271453857422
1311200000.0,-66.21294403076172
1311280000.0,-66.53889465332031
1311360000.0,-66.84852600097656
1311440000.0,-67.1490249633789
1311520000.0,-67.43980407714844
1311600000.0,-67.71562194824219
1311680000.0,-67.9693603515625
1311760000.0,-68.19400024414062
1311840000.0,-68.38450622558594
1311920000.0,-68.53925323486328
1312000000.0,-68.66008758544922
1312080000.0,-68.75208282470703
1312160000.0,-68.82247924804688
1312240000.0,-68.87942504882812
1312320000.0,-68.93074798583984
1312400000.0,-68.98281860351562
1312480000.0,-69.04031372070312
1312560000.0,-69.10578155517578
1312640000.0,-69.17979431152344
1312720000.0,-69.26107025146484
1312800000.0,-69.34724426269531
1312880000.0,-69.43545532226562
1312960000.0,-69.52278137207031
1313040000.0,-69.60686492919922
1313120000.0,-69.68647003173828
1313200000.0,-69.76155090332031
1313280000.0,-69.83306884765625
1313360000.0,-69.90255737304688
1313440000.0,-69.9722671508789
1313520000.0,-70.04399871826172
1313600000.0,-70.1187973022461
1313680000.0,-70.19698333740234
1313760000.0,-70.27788543701172
1313840000.0,-70.3598861694336
1313920000.0,-70.44042205810547
1314000000.0,-70.51651763916016
1314080000.0,-70.58512878417969
1314160000.0,-70.64344787597656
1314240000.0,-70.68968200683594
1314320000.0,-70.72298431396484
1314400000.0,-70.74392700195312
1314480000.0,-70.7544937133789
1314560000.0,-70.75811004638672
1314640000.0,-70.75855255126953
1314720000.0,-70.75995635986328
1314800000.0,-70.7662582397461
1314880000.0,-70.78063201904297
1314960000.0,-70.80448150634766
1315040000.0,-70.83838653564453
1315120000.0,-70.8807373046875
1315200000.0,-70.92869567871094
1315280000.0,-70.97802734375
1315360000.0,-71.02338409423828
1315440000.0,-71.0595932006836
1315520000.0,-71.08158874511719
1315600000.0,-71.08539581298828
1315680000.0,-71.06873321533203
1315760000.0,-71.03120422363281
1315840000.0,-70.97412872314453
1315920000.0,-70.9002914428711
1316000000.0,-70.8133316040039
1316080000.0,-70.71702575683594
1316160000.0,-70.61457061767578
1316240000.0,-70.5075454711914
1316320000.0,-70.39591217041016
1316400000.0,-70.27689361572266
1316480000.0,-70.14535522460938
1316560000.0,-69.9931869506836
1316640000.0,-69.81044006347656
1316720000.0,-69.58649444580078
1316800000.0,-69.31178283691406
1316880000.0,-68.9808578491211
1316960000.0,-68.59394836425781
1317040000.0,-68.15785217285156
1317120000.0,-67.68441772460938
1317200000.0,-67.1881103515625
1317280000.0,-66.68238067626953
1317360000.0,-66.17626953125
1317440000.0,-65.6717300415039
1317520000.0,-65.16240692138672
1317600000.0,-64.63358306884766
1317680000.0,-64.06520080566406
1317760000.0,-63.436649322509766
1317840000.0,-62.73411178588867
1317920000.0,-61.956478118896484
1318000000.0,-61.11737823486328
1318080000.0,-60.24203872680664
1318160000.0,-59.36117172241211
1318240000.0,-58.50503921508789
1318320000.0,-57.699588775634766
1318400000.0,-56.96510314941406
1318480000.0,-56.31631088256836
1318560000.0,-55.76337814331055
1318640000.0,-55.3129768371582
1318720000.0,-54.96931076049805
1318800000.0,-54.734901428222656
1318880000.0,-54.61104202270508
1318960000.0,-54.59832763671875
1319040000.0,-54.69683074951172
1319120000.0,-54.90620040893555
1319200000.0,-55.225730895996094
1319280000.0,-55.65424728393555
1319360000.0,-56.18989562988281
1319440000.0,-56.82976150512695
1319520000.0,-57.569332122802734
1319600000.0,-58.401546478271484
1319680000.0,-59.31572723388672
1319760000.0,-60.29591751098633
1319840000.0,-61.31942367553711
1319920000.0,-62.35553741455078
1320000000.0,-63.366458892822266
